,strategy,rate,iteration,total_correctness,avg_correctness
54,3,100,6,250976.42797573155,633.7788585245746
55,3,100,60,142381.89801425676,545.5245134645853
56,3,100,61,81794.19406588486,517.6847725688915
57,3,100,62,889399.3856644682,710.3828958981375
58,3,100,63,55277.25121467339,564.0535838231979
59,3,100,64,881449.4736668532,507.747392665238
60,3,100,65,11639.990789549114,554.2852756928149
61,3,100,66,461827.4328923261,598.9979674349236
62,3,100,67,291038.77313958015,558.6156874080233
63,3,100,68,511139.06728253304,500.62592290159944
64,3,100,69,482929.53356107743,588.2211127418726
65,3,100,7,406627.28883064195,530.8450245830835
66,3,100,70,305018.4989083389,585.4481744881745
67,3,100,71,70837.6956011795,498.85701127591193
68,3,100,72,73857.48287143331,586.1704989796294
69,3,100,73,12231.754153906306,582.4644835193479
70,3,100,74,406627.28883064195,530.8450245830835
71,3,100,75,545885.0211361228,519.8904963201169
72,3,100,76,62102.774679593924,564.5706789053993
73,3,100,77,360808.46493121143,508.180936522833
74,3,100,78,134952.31958106806,441.02065222571264
75,3,100,79,828981.5728949205,468.08671535568635
76,3,100,8,134952.31958106806,441.02065222571264
77,3,100,80,828981.5728949205,468.08671535568635
78,3,100,81,31915.534881367057,613.7602861801357
79,3,100,82,753545.6313423403,592.8761851631316
80,3,100,83,27020.90510329618,375.2903486568914
81,3,100,84,142381.89801425676,545.5245134645853
82,3,100,85,209307.2551069837,571.8777461939445
83,3,100,86,305018.4989083389,585.4481744881745
84,3,100,87,60618.08330309161,496.86953527124274
85,3,100,88,565695.0492214252,538.7571897346907
86,3,100,89,565695.0492214252,538.7571897346907
87,3,100,9,60618.08330309161,496.86953527124274
88,3,100,90,32989.27994720769,659.7855989441538
89,3,100,91,81582.61306246216,497.45495769794
90,3,100,92,81794.19406588486,517.6847725688915
91,3,100,93,85798.59236684782,640.2880027376704
92,3,100,94,745636.6092019229,558.111234432577
93,3,100,95,32815.73152936012,565.78847464414
94,3,100,96,11639.990789549114,554.2852756928149
95,3,100,97,209307.2551069837,571.8777461939445
96,3,100,98,32815.73152936012,565.78847464414
97,3,100,99,1148492.2826777415,550.5715640832893
98,3,10,1,0.0,0.0
99,3,10,10,0.0,0.0
100,3,10,100,828981.5728949205,468.08671535568635
101,3,10,11,0.0,0.0
102,3,10,12,0.0,0.0
103,3,10,13,0.0,0.0
104,3,10,14,0.0,0.0
105,3,10,15,0.0,0.0
106,3,10,16,0.0,0.0
107,3,10,17,86998.03187940115,480.6521098309456
108,3,10,18,40998.40094165341,57.74422667838508
109,3,10,19,0.0,0.0
110,3,10,2,0.0,0.0
111,3,10,20,0.0,0.0
112,3,10,21,0.0,0.0
113,3,10,22,0.0,0.0
114,3,10,23,63535.547300433376,496.37146328463575
115,3,10,24,0.0,0.0
116,3,10,25,227912.00278006302,575.5353605557146
117,3,10,26,86668.54924305111,84.88594441043203
118,3,10,27,0.0,0.0
119,3,10,28,0.0,0.0
120,3,10,29,0.0,0.0
121,3,10,3,828981.5728949205,468.08671535568635
122,3,10,30,0.0,0.0
123,3,10,31,0.0,0.0
124,3,10,32,0.0,0.0
125,3,10,33,0.0,0.0
126,3,10,34,2644.0474792785008,125.90702282278575
127,3,10,35,0.0,0.0
128,3,10,36,75933.10379588619,99.1293783236112
129,3,10,37,0.0,0.0
130,3,10,38,0.0,0.0
131,3,10,39,0.0,0.0
132,3,10,4,0.0,0.0
133,3,10,40,0.0,0.0
134,3,10,41,2721.6653807155717,5.577183157204041
135,3,10,42,0.0,0.0
136,3,10,43,0.0,0.0
137,3,10,44,0.0,0.0
