,strategy,rate,iteration,total_correctness,avg_correctness
45,1,100,3,7499299.118576817,8473.784314776065
46,1,100,57,765974.9536131603,4185.65548422492
47,1,100,52,3034635.9589206753,7401.55111931872
48,1,100,54,1998624.083392046,5218.339643321268
49,1,100,62,478302.3879048024,5832.955950058566
50,1,100,68,20949.17374727508,2094.917374727508
51,1,100,66,60667.81710504938,1378.8140251147586
52,1,100,5,4290845.365199767,8173.038790856699
53,1,100,49,4889237.341439084,7319.217577004617
54,1,100,64,408361.61596457864,1334.515084851564
55,1,100,65,408361.61596457864,1334.515084851564
56,1,100,69,1111766.5200992748,5123.348018890667
57,1,100,71,380611.7376615851,6239.5366829768045
58,1,100,7,1055750.8789657638,4865.211423805364
59,1,100,67,1456614.167975689,5602.362184521881
60,1,100,59,3803382.6298941234,7457.612999792399
61,1,100,75,187769.31848649477,6474.804085741199
62,1,100,56,3097209.0027899314,4947.6182153193795
63,1,100,46,7480844.552174069,8452.931697371829
64,1,100,70,1460705.9531081836,5618.09981964686
65,1,100,80,45761.773338361665,4576.177333836166
66,1,100,81,50810.57073450986,7258.652962072838
67,1,100,72,397515.06536362163,2598.137682115174
68,1,100,8,357822.3737969677,5865.9405540486505
69,1,100,61,2802456.2398300013,5495.012234960786
70,1,100,60,3784132.0856459728,7419.866834599947
71,1,100,82,73276.76588038371,1665.3810427359933
72,1,100,63,4339483.395315025,8265.682657742906
73,1,100,86,47543.02690732599,2067.088126405478
74,1,100,83,364727.55690443155,5979.140277121829
75,1,100,9,44169.74594772332,6309.963706817617
76,1,100,77,1057187.0800553244,4871.829862006103
77,1,100,45,5168432.826896842,4955.352662413079
78,1,100,87,349397.5869342416,4658.634492456555
79,1,100,89,238359.2445179769,2979.4905564747114
80,1,100,76,1450577.985528468,5579.146098186415
81,1,100,95,54935.11204120989,5493.511204120989
82,1,100,90,374628.8445096169,4568.644445239231
83,1,100,91,265387.57669180154,3737.8531928422753
84,1,100,94,47515.395104525414,2065.886743675018
